Date,Product Category,Product Name,Region,Units Sold,Customer Segment,Customer Type,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Competitor Influence,Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Product Launch Date,Competitor Product,Market Share (%),Sales Revenue (USD)
2016-08-12,OEM,Tesla T4,Africa,3758.0,Gamers,Individual,1.9,155181.38,8,Low,1.33,12.0,0.22,63.0,2018-10-27,AMD Radeon RX 7900,62.62,310779731.3
1995-07-02,OEM,Tesla V100,Middle East,4978.0,Cloud Providers,Individual,4.2,136191.16,19,Medium,2.69,75.0,0.28,88.0,2021-07-22,AMD Radeon RX 7900,63.38,297383183.3
2019-05-08,AI,RTX 4090,Europe,1875.0,AI Researchers,Business,1.3,156854.4,10,Low,4.12,10.0,0.28,80.0,2017-04-18,AMD Radeon RX 7900,69.77,6043866348.41
2008-06-26,OEM,RTX 3080,APAC,3551.0,Cloud Providers,Individual,3.8,79772.88,5,Low,4.69,43.0,0.13,72.0,2001-06-16,Intel Xeon,33.86,283344939.73
1996-07-17,Gaming,RTX 4090,Europe,1571.0,AI Researchers,Business,4.0,165636.07,15,Medium,0.58,48.0,0.12,63.0,2000-01-04,Google TPU,59.26,287754632.99
2023-03-02,AI,Tesla V100,Middle East,4357.0,Gamers,Individual,1.3,20870.75,17,Low,3.3,85.0,0.2,63.0,1997-01-21,AMD Radeon RX 6800,50.63,333544719513.45
1997-08-31,AI,Tesla T4,APAC,1282.0,Cloud Providers,Business,4.5,49855.43,22,Medium,4.55,25.0,0.22,78.0,2004-06-20,AMD Radeon RX 7900,36.46,294004846.5
2019-10-20,Gaming,Quadro P2200,APAC,3125.0,Gamers,Business,4.5,77192.17,12,Medium,3.31,14.0,0.06,53.0,2008-06-01,Intel Xeon,51.54,3727724347.69
2023-11-18,Gaming,Tesla V100,Europe,2129.0,AI Researchers,Business,2.7,46796.5,18,Medium,2.6,35.0,0.1,80.0,2011-05-07,AMD Radeon RX 7900,55.23,277951339106.67
2005-06-06,AI,Tesla T4,Africa,2845.0,Gamers,Business,2.0,132412.66,22,Low,3.31,87.0,0.16,68.0,2006-11-25,Intel Xeon,38.21,308395742.46
2017-10-07,Data Center,Quadro P2200,APAC,719.0,Educational Institutions,Business,2.3,65685.91,0,Low,0.77,23.0,0.21,60.0,2015-06-06,AMD Radeon RX 7900,54.66,301238954.69
2022-09-01,Data Center,RTX 3080,Africa,2296.0,Cloud Providers,Business,3.1,56472.56,5,Low,2.67,29.0,0.17,63.0,2024-07-04,AMD Radeon RX 7900,59.81,256863853953.82
2003-11-20,Gaming,Tesla V100,North America,1534.0,AI Researchers,Business,1.4,77827.64,5,High,3.83,11.0,0.12,90.0,2023-11-30,Intel Xeon,68.23,285342260.09
2006-06-17,Data Center,RTX 3080,North America,2114.0,Cloud Providers,Individual,4.4,49249.93,24,Low,2.59,36.0,0.18,87.0,2006-02-15,AMD Radeon RX 6800,57.93,288292121.41
2002-08-28,AI,RTX 3080,South America,592.0,Gamers,Individual,1.4,155675.34,24,Medium,4.9,14.0,0.16,63.0,1997-08-07,AMD Radeon RX 6800,42.57,301469674.07
2020-05-06,Data Center,Quadro P2200,Middle East,4555.0,Educational Institutions,Business,2.0,119480.06,4,Low,3.68,22.0,0.23,52.0,2005-09-23,AMD Radeon RX 6800,63.26,2321612967.99
2008-02-17,AI,RTX 3080,Europe,3739.0,Cloud Providers,Business,1.0,96384.06,21,Medium,4.21,29.0,0.27,71.0,2014-03-29,Intel Xeon,67.01,281800449.79
2007-12-09,AI,Tesla T4,South America,4767.0,Educational Institutions,Individual,2.3,21000.84,8,Medium,2.87,55.0,0.06,85.0,1993-07-30,AMD Radeon RX 7900,47.42,281427910.22
